CreatedDate,Pm2.5,Pm10
27-04-2024 20:00,41.25,366
27-04-2024 21:00,44.75,339.75
27-04-2024 22:00,56.5,312.75
27-04-2024 23:00,62.25,330
28-04-2024 00:00,44.25,288
28-04-2024 01:00,34.75,180.5
28-04-2024 02:00,41.5,157.75
28-04-2024 03:00,50.25,170.75
28-04-2024 04:00,59.25,176.75
28-04-2024 05:00,48,157.75
28-04-2024 06:00,48.5,171.25
28-04-2024 07:00,49.5,164.75
28-04-2024 08:00,50.25,193.5
28-04-2024 09:00,61.25,239.75
28-04-2024 10:00,82.25,260.75
28-04-2024 11:00,95.75,292.25
28-04-2024 12:00,55.25,251
28-04-2024 13:00,31.75,176.75
28-04-2024 14:00,24,153
28-04-2024 15:00,28.75,182.25
28-04-2024 16:00,26,175.5
28-04-2024 17:00,28,164.25
28-04-2024 18:00,26.25,183.5
28-04-2024 19:00,33.5,266.5
28-04-2024 20:00,45,379.5
28-04-2024 21:00,53,309.5
28-04-2024 22:00,64.75,305
28-04-2024 23:00,63.75,297
29-04-2024 00:00,96.75,327.25
29-04-2024 01:00,104.25,303.25
29-04-2024 02:00,62.75,221.5
29-04-2024 03:00,55.25,199.75
29-04-2024 04:00,63.5,200.75
29-04-2024 05:00,69.5,204.25
29-04-2024 06:00,80.5,235.75
29-04-2024 07:00,102,285.25
29-04-2024 08:00,117,364.75
29-04-2024 09:00,142.5,429.75
29-04-2024 10:00,121.5,414.5
29-04-2024 11:00,68.75,283
29-04-2024 12:00,57.5,263
29-04-2024 13:00,51.25,257
29-04-2024 14:00,45.75,233.5
29-04-2024 15:00,45.5,253.75
29-04-2024 16:00,45.25,284.75
29-04-2024 17:00,37.5,328.5
29-04-2024 18:00,29.75,405
29-04-2024 19:00,28.75,294
29-04-2024 20:00,27.75,291.5
29-04-2024 21:00,31.5,241.5
29-04-2024 22:00,45,269.25
29-04-2024 23:00,44.75,240.5
30-04-2024 00:00,43,213.25
30-04-2024 01:00,44,206.5
30-04-2024 02:00,54.75,201.25
