CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
06-05-2024 03:30,83,266,216
06-05-2024 03:45,87,270,220
06-05-2024 04:00,90,273,223
06-05-2024 04:15,93,276,226
06-05-2024 04:30,95,277,227
06-05-2024 04:45,99,284,234
06-05-2024 05:00,110,301,267
06-05-2024 05:15,127,329,305
06-05-2024 05:30,144,355,318
06-05-2024 05:45,157,373,329
06-05-2024 06:00,182,402,365
06-05-2024 06:15,242,476,458
06-05-2024 06:30,266,503,491
06-05-2024 06:45,261,498,485
06-05-2024 07:00,250,487,471
06-05-2024 07:15,241,475,456
06-05-2024 07:30,217,446,420
06-05-2024 07:45,201,425,394
06-05-2024 08:00,197,420,388
06-05-2024 08:15,198,421,389
06-05-2024 08:30,192,413,379
06-05-2024 08:45,180,396,358
06-05-2024 09:00,164,381,339
06-05-2024 09:15,154,369,326
06-05-2024 09:30,143,353,318
06-05-2024 09:45,126,328,305
06-05-2024 10:00,109,299,263
06-05-2024 10:15,100,285,235
06-05-2024 10:30,85,268,218
06-05-2024 10:45,72,242,195
06-05-2024 11:00,66,220,180
06-05-2024 11:15,63,211,174
06-05-2024 11:30,57,182,155
06-05-2024 11:45,47,140,127
06-05-2024 12:00,47,141,127
06-05-2024 12:15,40,113,109
06-05-2024 12:30,36,99,99
06-05-2024 12:45,36,97,97
06-05-2024 13:00,40,114,109
06-05-2024 13:15,42,124,116
06-05-2024 13:30,40,115,110
06-05-2024 13:45,37,101,101
06-05-2024 14:00,34,92,92
06-05-2024 14:15,34,93,93
06-05-2024 14:30,35,96,96
06-05-2024 14:45,36,99,99
06-05-2024 15:00,33,89,89
06-05-2024 15:15,34,93,93
06-05-2024 15:30,36,100,100
06-05-2024 15:45,38,106,104
06-05-2024 16:00,37,104,103
06-05-2024 16:15,37,102,101
06-05-2024 16:30,36,99,99
06-05-2024 16:45,35,96,96
06-05-2024 17:00,34,93,93
06-05-2024 17:15,34,91,91
06-05-2024 17:30,34,91,91
06-05-2024 17:45,34,92,92
06-05-2024 18:00,36,96,96
06-05-2024 18:15,36,98,98
06-05-2024 18:30,36,99,99
06-05-2024 18:45,38,106,104
06-05-2024 19:00,40,114,109
06-05-2024 19:15,42,121,114
06-05-2024 19:30,44,130,120
06-05-2024 19:45,48,147,131
06-05-2024 20:00,51,155,137
06-05-2024 20:15,58,180,153
06-05-2024 20:30,70,236,191
06-05-2024 20:45,65,217,178
06-05-2024 21:00,65,217,178
06-05-2024 21:15,67,224,183
06-05-2024 21:30,63,211,174
06-05-2024 21:45,64,213,175
06-05-2024 22:00,66,221,181
06-05-2024 22:15,69,232,188
06-05-2024 22:30,76,253,203
06-05-2024 22:45,86,269,219
06-05-2024 23:00,98,282,232
06-05-2024 23:15,104,290,247
06-05-2024 23:30,110,302,267
06-05-2024 23:45,114,309,280
07-05-2024 00:00,131,335,308
07-05-2024 00:15,134,340,311
07-05-2024 00:30,140,349,315
07-05-2024 00:45,140,350,315
07-05-2024 01:00,144,355,318
07-05-2024 01:15,148,361,322
07-05-2024 01:30,149,362,322
07-05-2024 01:45,172,388,348
07-05-2024 02:00,191,411,376
07-05-2024 02:15,188,407,371
07-05-2024 02:30,190,409,374
07-05-2024 02:45,196,418,385
07-05-2024 03:00,226,457,434
07-05-2024 03:15,243,478,460
07-05-2024 03:30,257,495,481
07-05-2024 03:45,261,498,485
07-05-2024 04:00,258,495,481
07-05-2024 04:15,262,500,488
07-05-2024 04:30,253,490,475
07-05-2024 04:45,252,488,472
07-05-2024 05:00,245,481,464
07-05-2024 05:15,244,479,461
07-05-2024 05:30,227,458,435
07-05-2024 05:45,218,448,422
07-05-2024 06:00,222,453,429
07-05-2024 06:15,225,457,434
07-05-2024 06:30,260,491,476
07-05-2024 06:45,328,557,559
07-05-2024 07:00,341,565,569
07-05-2024 07:15,350,570,575
07-05-2024 07:30,330,557,559
07-05-2024 07:45,313,546,545
07-05-2024 08:00,316,548,548
07-05-2024 08:15,311,544,542
07-05-2024 08:30,315,547,546
07-05-2024 08:45,329,557,559
07-05-2024 09:00,332,559,561
07-05-2024 09:15,293,531,526
07-05-2024 09:30,277,515,506
07-05-2024 09:45,227,458,435
07-05-2024 10:00,192,412,378
07-05-2024 10:15,165,380,338
07-05-2024 10:30,123,322,302
07-05-2024 10:45,91,273,223
07-05-2024 11:00,66,216,177
07-05-2024 11:15,51,157,138
